statement,label,extracted_statement_ids,extracted_statement_texts
(3 - 19) * 18 = -288,True,"[128000, 128011, 7, 18, 482, 220, 777, 8, 353, 220, 972, 284, 482, 15287, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(3 - 19) * 18 = -288<｜Assistant｜><think>
"
(50 + 21) - 20 = 51,True,"[128000, 128011, 7, 1135, 489, 220, 1691, 8, 482, 220, 508, 284, 220, 3971, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(50 + 21) - 20 = 51<｜Assistant｜><think>
"
(13 * 32) - 42 = 374,True,"[128000, 128011, 7, 1032, 353, 220, 843, 8, 482, 220, 2983, 284, 220, 18265, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(13 * 32) - 42 = 374<｜Assistant｜><think>
"
(30 - 44) * 28 = -393,False,"[128000, 128011, 7, 966, 482, 220, 2096, 8, 353, 220, 1591, 284, 482, 18252, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(30 - 44) * 28 = -393<｜Assistant｜><think>
"
(17 + 41) + 9 = 67,True,"[128000, 128011, 7, 1114, 489, 220, 3174, 8, 489, 220, 24, 284, 220, 3080, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(17 + 41) + 9 = 67<｜Assistant｜><think>
"
(41 - 11) - 4 = 26,True,"[128000, 128011, 7, 3174, 482, 220, 806, 8, 482, 220, 19, 284, 220, 1627, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(41 - 11) - 4 = 26<｜Assistant｜><think>
"
(19 - 1) + 33 = 50,False,"[128000, 128011, 7, 777, 482, 220, 16, 8, 489, 220, 1644, 284, 220, 1135, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(19 - 1) + 33 = 50<｜Assistant｜><think>
"
(39 + 6) - 40 = 3,False,"[128000, 128011, 7, 2137, 489, 220, 21, 8, 482, 220, 1272, 284, 220, 18, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(39 + 6) - 40 = 3<｜Assistant｜><think>
"
(46 * 15) * 3 = 2070,True,"[128000, 128011, 7, 2790, 353, 220, 868, 8, 353, 220, 18, 284, 220, 12060, 15, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(46 * 15) * 3 = 2070<｜Assistant｜><think>
"
(15 - 26) - 10 = -21,True,"[128000, 128011, 7, 868, 482, 220, 1627, 8, 482, 220, 605, 284, 482, 1691, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(15 - 26) - 10 = -21<｜Assistant｜><think>
"
(50 + 36) - 1 = 85,True,"[128000, 128011, 7, 1135, 489, 220, 1927, 8, 482, 220, 16, 284, 220, 5313, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(50 + 36) - 1 = 85<｜Assistant｜><think>
"
(44 + 11) * 13 = 715,True,"[128000, 128011, 7, 2096, 489, 220, 806, 8, 353, 220, 1032, 284, 220, 22744, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(44 + 11) * 13 = 715<｜Assistant｜><think>
"
(27 * 12) * 48 = 15554,False,"[128000, 128011, 7, 1544, 353, 220, 717, 8, 353, 220, 2166, 284, 220, 9992, 4370, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(27 * 12) * 48 = 15554<｜Assistant｜><think>
"
(20 + 46) * 2 = 132,True,"[128000, 128011, 7, 508, 489, 220, 2790, 8, 353, 220, 17, 284, 220, 9413, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(20 + 46) * 2 = 132<｜Assistant｜><think>
"
(3 * 49) - 27 = 120,True,"[128000, 128011, 7, 18, 353, 220, 2491, 8, 482, 220, 1544, 284, 220, 4364, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(3 * 49) - 27 = 120<｜Assistant｜><think>
"
(33 + 11) - 31 = 15,False,"[128000, 128011, 7, 1644, 489, 220, 806, 8, 482, 220, 2148, 284, 220, 868, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(33 + 11) - 31 = 15<｜Assistant｜><think>
"
(9 - 17) + 27 = 21,False,"[128000, 128011, 7, 24, 482, 220, 1114, 8, 489, 220, 1544, 284, 220, 1691, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(9 - 17) + 27 = 21<｜Assistant｜><think>
"
(38 * 17) / 19 = 29,False,"[128000, 128011, 7, 1987, 353, 220, 1114, 8, 611, 220, 777, 284, 220, 1682, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(38 * 17) / 19 = 29<｜Assistant｜><think>
"
(48 - 27) * 42 = 878,False,"[128000, 128011, 7, 2166, 482, 220, 1544, 8, 353, 220, 2983, 284, 220, 25890, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(48 - 27) * 42 = 878<｜Assistant｜><think>
"
(27 + 41) + 3 = 76,False,"[128000, 128011, 7, 1544, 489, 220, 3174, 8, 489, 220, 18, 284, 220, 4767, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(27 + 41) + 3 = 76<｜Assistant｜><think>
"
(3 - 32) * 13 = -372,False,"[128000, 128011, 7, 18, 482, 220, 843, 8, 353, 220, 1032, 284, 482, 17662, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(3 - 32) * 13 = -372<｜Assistant｜><think>
"
(23 + 2) - 13 = 17,False,"[128000, 128011, 7, 1419, 489, 220, 17, 8, 482, 220, 1032, 284, 220, 1114, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(23 + 2) - 13 = 17<｜Assistant｜><think>
"
(26 - 32) - 14 = -20,True,"[128000, 128011, 7, 1627, 482, 220, 843, 8, 482, 220, 975, 284, 482, 508, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(26 - 32) - 14 = -20<｜Assistant｜><think>
"
(48 * 31) * 38 = 56539,False,"[128000, 128011, 7, 2166, 353, 220, 2148, 8, 353, 220, 1987, 284, 220, 20943, 2137, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(48 * 31) * 38 = 56539<｜Assistant｜><think>
"
(5 * 26) * 29 = 3770,True,"[128000, 128011, 7, 20, 353, 220, 1627, 8, 353, 220, 1682, 284, 220, 10898, 15, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(5 * 26) * 29 = 3770<｜Assistant｜><think>
"
(11 - 39) - 11 = -42,False,"[128000, 128011, 7, 806, 482, 220, 2137, 8, 482, 220, 806, 284, 482, 2983, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(11 - 39) - 11 = -42<｜Assistant｜><think>
"
(16 * 16) * 29 = 7424,True,"[128000, 128011, 7, 845, 353, 220, 845, 8, 353, 220, 1682, 284, 220, 25560, 19, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(16 * 16) * 29 = 7424<｜Assistant｜><think>
"
(20 - 18) * 17 = 34,True,"[128000, 128011, 7, 508, 482, 220, 972, 8, 353, 220, 1114, 284, 220, 1958, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(20 - 18) * 17 = 34<｜Assistant｜><think>
"
(39 * 20) / 26 = 30,True,"[128000, 128011, 7, 2137, 353, 220, 508, 8, 611, 220, 1627, 284, 220, 966, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(39 * 20) / 26 = 30<｜Assistant｜><think>
"
(12 * 21) + 14 = 266,True,"[128000, 128011, 7, 717, 353, 220, 1691, 8, 489, 220, 975, 284, 220, 15999, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(12 * 21) + 14 = 266<｜Assistant｜><think>
"
(16 - 7) + 1 = 6,False,"[128000, 128011, 7, 845, 482, 220, 22, 8, 489, 220, 16, 284, 220, 21, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(16 - 7) + 1 = 6<｜Assistant｜><think>
"
(11 - 45) + 45 = 11,True,"[128000, 128011, 7, 806, 482, 220, 1774, 8, 489, 220, 1774, 284, 220, 806, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(11 - 45) + 45 = 11<｜Assistant｜><think>
"
(31 + 24) + 30 = 85,True,"[128000, 128011, 7, 2148, 489, 220, 1187, 8, 489, 220, 966, 284, 220, 5313, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(31 + 24) + 30 = 85<｜Assistant｜><think>
"
