statement,label,country,cities,stated_k,actual_k,extracted_statement_ids,extracted_statement_texts
"Exactly 2 of the following cities are in Trinidad and Tobago: Riga, Tiruchirappalli.",0,Trinidad and Tobago,"('Riga', 'Tiruchirappalli')",2,0,"[128000, 128011, 66457, 220, 17, 315, 279, 2768, 9919, 527, 304, 86230, 323, 32856, 6438, 25, 432, 16960, 11, 83655, 1412, 404, 680, 96893, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 2 of the following cities are in Trinidad and Tobago: Riga, Tiruchirappalli.<｜Assistant｜><think>
"
"Exactly 2 of the following cities are in Ecuador: Suginami, Sanaa.",0,Ecuador,"('Sanaa', 'Suginami')",2,0,"[128000, 128011, 66457, 220, 17, 315, 279, 2768, 9919, 527, 304, 55091, 25, 328, 3715, 10830, 11, 328, 3444, 64, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 2 of the following cities are in Ecuador: Suginami, Sanaa.<｜Assistant｜><think>
"
"Exactly 2 of the following cities are in Mexico: Naucalpan de Juarez, Santiago de Queretaro.",1,Mexico,"('Naucalpan de Juarez', 'Santiago de Queretaro')",2,2,"[128000, 128011, 66457, 220, 17, 315, 279, 2768, 9919, 527, 304, 12550, 25, 13106, 1791, 278, 857, 409, 22410, 39614, 11, 55678, 409, 3489, 261, 295, 17606, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 2 of the following cities are in Mexico: Naucalpan de Juarez, Santiago de Queretaro.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Latvia: Riga, Naberezhnyye Chelny.",0,Latvia,"('Naberezhnyye Chelny', 'Riga')",0,1,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 79258, 25, 432, 16960, 11, 88406, 486, 24752, 3919, 9188, 921, 301, 3919, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Latvia: Riga, Naberezhnyye Chelny.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Djibouti: Tangshan, Ningbo.",1,Djibouti,"('Ningbo', 'Tangshan')",0,0,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 52162, 581, 412, 72, 25, 41462, 83227, 11, 86183, 754, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Djibouti: Tangshan, Ningbo.<｜Assistant｜><think>
"
"Exactly 1 of the following cities are in France: Sao Jose dos Campos, Caracas.",0,France,"('Caracas', 'Sao Jose dos Campos')",1,0,"[128000, 128011, 66457, 220, 16, 315, 279, 2768, 9919, 527, 304, 9822, 25, 90972, 11097, 8924, 89565, 11, 3341, 78283, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 1 of the following cities are in France: Sao Jose dos Campos, Caracas.<｜Assistant｜><think>
"
"Exactly 1 of the following cities are in Zimbabwe: Arifwala, Harare.",1,Zimbabwe,"('Arifwala', 'Harare')",1,1,"[128000, 128011, 66457, 220, 16, 315, 279, 2768, 9919, 527, 304, 52320, 25, 1676, 333, 86, 6181, 11, 5340, 548, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 1 of the following cities are in Zimbabwe: Arifwala, Harare.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in the Democratic Republic of the Congo: Mbuji-Mayi, Islamabad.",0,the Democratic Republic of the Congo,"('Islamabad', 'Mbuji-Mayi')",0,1,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 279, 11650, 5545, 315, 279, 54932, 25, 386, 20218, 7910, 63086, 72, 11, 92532, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in the Democratic Republic of the Congo: Mbuji-Mayi, Islamabad.<｜Assistant｜><think>
"
"Exactly 1 of the following cities are in Kazakhstan: Aktobe, Mulenvos.",1,Kazakhstan,"('Aktobe', 'Mulenvos')",1,1,"[128000, 128011, 66457, 220, 16, 315, 279, 2768, 9919, 527, 304, 73537, 25, 50196, 15784, 11, 30451, 3239, 437, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 1 of the following cities are in Kazakhstan: Aktobe, Mulenvos.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Latvia: Caracas, Banjarmasin.",1,Latvia,"('Banjarmasin', 'Caracas')",0,0,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 79258, 25, 3341, 78283, 11, 23565, 73, 2227, 51410, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Latvia: Caracas, Banjarmasin.<｜Assistant｜><think>
"
"Exactly 2 of the following cities are in Niger: Enugu, Saratov.",0,Niger,"('Enugu', 'Saratov')",2,0,"[128000, 128011, 66457, 220, 17, 315, 279, 2768, 9919, 527, 304, 20992, 25, 2998, 30885, 11, 13951, 266, 869, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 2 of the following cities are in Niger: Enugu, Saratov.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Sudan: Nyala, Khartoum.",0,Sudan,"('Khartoum', 'Nyala')",0,2,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 43554, 25, 37832, 6181, 11, 20774, 472, 283, 76, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Sudan: Nyala, Khartoum.<｜Assistant｜><think>
"
"Exactly 2 of the following cities are in Angola: Hoji ya Henda, Kikolo.",1,Angola,"('Hoji ya Henda', 'Kikolo')",2,2,"[128000, 128011, 66457, 220, 17, 315, 279, 2768, 9919, 527, 304, 98792, 25, 17723, 7910, 13835, 473, 9895, 11, 735, 1609, 10216, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 2 of the following cities are in Angola: Hoji ya Henda, Kikolo.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Poland: Wroclaw, Tashkent.",0,Poland,"('Tashkent', 'Wroclaw')",0,1,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 28702, 25, 468, 299, 566, 675, 11, 350, 1003, 74, 306, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Poland: Wroclaw, Tashkent.<｜Assistant｜><think>
"
"Exactly 2 of the following cities are in Iraq: Nagoya, Erbil.",0,Iraq,"('Erbil', 'Nagoya')",2,1,"[128000, 128011, 66457, 220, 17, 315, 279, 2768, 9919, 527, 304, 11340, 25, 30162, 47162, 11, 9939, 49938, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 2 of the following cities are in Iraq: Nagoya, Erbil.<｜Assistant｜><think>
"
"Exactly 1 of the following cities are in Norway: Paranaque City, Oslo.",1,Norway,"('Oslo', 'Paranaque City')",1,1,"[128000, 128011, 66457, 220, 16, 315, 279, 2768, 9919, 527, 304, 32603, 25, 4366, 3444, 593, 4409, 11, 58958, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 1 of the following cities are in Norway: Paranaque City, Oslo.<｜Assistant｜><think>
"
"Exactly 1 of the following cities are in Malaysia: Krakow, Malacca.",1,Malaysia,"('Krakow', 'Malacca')",1,1,"[128000, 128011, 66457, 220, 16, 315, 279, 2768, 9919, 527, 304, 28796, 25, 89543, 363, 11, 8560, 582, 936, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 1 of the following cities are in Malaysia: Krakow, Malacca.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Djibouti: Balbala, Qiqihar.",0,Djibouti,"('Balbala', 'Qiqihar')",0,1,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 52162, 581, 412, 72, 25, 19984, 65, 6181, 11, 1229, 24672, 72741, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Djibouti: Balbala, Qiqihar.<｜Assistant｜><think>
"
"Exactly 2 of the following cities are in the Dominican Republic: Sao Bernardo do Campo, Shah Alam.",0,the Dominican Republic,"('Sao Bernardo do Campo', 'Shah Alam')",2,0,"[128000, 128011, 66457, 220, 17, 315, 279, 2768, 9919, 527, 304, 279, 67113, 5545, 25, 90972, 14502, 21106, 656, 59253, 11, 37617, 66050, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 2 of the following cities are in the Dominican Republic: Sao Bernardo do Campo, Shah Alam.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Tonga: Zanzibar, Vladivostok.",1,Tonga,"('Vladivostok', 'Zanzibar')",0,0,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 51491, 64, 25, 1901, 12341, 106954, 11, 30734, 344, 537, 564, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Tonga: Zanzibar, Vladivostok.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Lesotho: Tiruchirappalli, Naberezhnyye Chelny.",1,Lesotho,"('Naberezhnyye Chelny', 'Tiruchirappalli')",0,0,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 11876, 8942, 78, 25, 83655, 1412, 404, 680, 96893, 11, 88406, 486, 24752, 3919, 9188, 921, 301, 3919, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Lesotho: Tiruchirappalli, Naberezhnyye Chelny.<｜Assistant｜><think>
"
"Exactly 2 of the following cities are in Malaysia: Iskandar Puteri, Pelentong.",1,Malaysia,"('Iskandar Puteri', 'Pelentong')",2,2,"[128000, 128011, 66457, 220, 17, 315, 279, 2768, 9919, 527, 304, 28796, 25, 2209, 74, 438, 277, 10435, 31803, 11, 24587, 306, 647, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 2 of the following cities are in Malaysia: Iskandar Puteri, Pelentong.<｜Assistant｜><think>
"
"Exactly 1 of the following cities are in Croatia: Ananindeua, Sulaymaniyah.",0,Croatia,"('Ananindeua', 'Sulaymaniyah')",1,0,"[128000, 128011, 66457, 220, 16, 315, 279, 2768, 9919, 527, 304, 58311, 25, 1556, 276, 28074, 4381, 11, 46962, 352, 1543, 119067, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 1 of the following cities are in Croatia: Ananindeua, Sulaymaniyah.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Denmark: Zhaoqing, Copenhagen.",0,Denmark,"('Copenhagen', 'Zhaoqing')",0,1,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 35440, 25, 70381, 90684, 11, 64161, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Denmark: Zhaoqing, Copenhagen.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Cuba: Santiago de Cuba, Dalian.",0,Cuba,"('Dalian', 'Santiago de Cuba')",0,1,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 32777, 25, 55678, 409, 32777, 11, 423, 10700, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Cuba: Santiago de Cuba, Dalian.<｜Assistant｜><think>
"
"Exactly 2 of the following cities are in Pakistan: Rahim Yar Khan, Bahawalpur.",1,Pakistan,"('Bahawalpur', 'Rahim Yar Khan')",2,2,"[128000, 128011, 66457, 220, 17, 315, 279, 2768, 9919, 527, 304, 17076, 25, 33348, 318, 113381, 25273, 11, 32429, 675, 278, 26047, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 2 of the following cities are in Pakistan: Rahim Yar Khan, Bahawalpur.<｜Assistant｜><think>
"
