statement,label,extracted_statement_ids,extracted_statement_texts
71 - 79 = -8,True,"[128000, 128011, 6028, 482, 220, 4643, 284, 482, 23, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>71 - 79 = -8<｜Assistant｜><think>
"
25 - 36 = -11,True,"[128000, 128011, 914, 482, 220, 1927, 284, 482, 806, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>25 - 36 = -11<｜Assistant｜><think>
"
33 + 24 = 57,True,"[128000, 128011, 1644, 489, 220, 1187, 284, 220, 3226, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>33 + 24 = 57<｜Assistant｜><think>
"
31 + 28 = 59,True,"[128000, 128011, 2148, 489, 220, 1591, 284, 220, 2946, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>31 + 28 = 59<｜Assistant｜><think>
"
8 * 29 = 228,False,"[128000, 128011, 23, 353, 220, 1682, 284, 220, 14261, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>8 * 29 = 228<｜Assistant｜><think>
"
72 / 3 = 24,True,"[128000, 128011, 5332, 611, 220, 18, 284, 220, 1187, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>72 / 3 = 24<｜Assistant｜><think>
"
7 + 2 = 8,False,"[128000, 128011, 22, 489, 220, 17, 284, 220, 23, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>7 + 2 = 8<｜Assistant｜><think>
"
84 / 84 = 1,True,"[128000, 128011, 5833, 611, 220, 5833, 284, 220, 16, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>84 / 84 = 1<｜Assistant｜><think>
"
93 * 87 = 8091,True,"[128000, 128011, 6365, 353, 220, 4044, 284, 220, 21474, 16, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>93 * 87 = 8091<｜Assistant｜><think>
"
52 * 77 = 4004,True,"[128000, 128011, 4103, 353, 220, 2813, 284, 220, 3443, 19, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>52 * 77 = 4004<｜Assistant｜><think>
"
3 * 22 = 71,False,"[128000, 128011, 18, 353, 220, 1313, 284, 220, 6028, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>3 * 22 = 71<｜Assistant｜><think>
"
49 * 13 = 637,True,"[128000, 128011, 2491, 353, 220, 1032, 284, 220, 21788, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>49 * 13 = 637<｜Assistant｜><think>
"
62 + 36 = 98,True,"[128000, 128011, 5538, 489, 220, 1927, 284, 220, 3264, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>62 + 36 = 98<｜Assistant｜><think>
"
13 + 47 = 60,True,"[128000, 128011, 1032, 489, 220, 2618, 284, 220, 1399, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>13 + 47 = 60<｜Assistant｜><think>
"
3 + 37 = 39,False,"[128000, 128011, 18, 489, 220, 1806, 284, 220, 2137, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>3 + 37 = 39<｜Assistant｜><think>
"
9 + 48 = 62,False,"[128000, 128011, 24, 489, 220, 2166, 284, 220, 5538, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>9 + 48 = 62<｜Assistant｜><think>
"
71 + 39 = 114,False,"[128000, 128011, 6028, 489, 220, 2137, 284, 220, 8011, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>71 + 39 = 114<｜Assistant｜><think>
"
27 - 48 = -21,True,"[128000, 128011, 1544, 482, 220, 2166, 284, 482, 1691, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>27 - 48 = -21<｜Assistant｜><think>
"
99 + 38 = 137,True,"[128000, 128011, 1484, 489, 220, 1987, 284, 220, 10148, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>99 + 38 = 137<｜Assistant｜><think>
"
83 - 55 = 24,False,"[128000, 128011, 6069, 482, 220, 2131, 284, 220, 1187, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>83 - 55 = 24<｜Assistant｜><think>
"
51 - 55 = -3,False,"[128000, 128011, 3971, 482, 220, 2131, 284, 482, 18, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>51 - 55 = -3<｜Assistant｜><think>
"
85 - 84 = -3,False,"[128000, 128011, 5313, 482, 220, 5833, 284, 482, 18, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>85 - 84 = -3<｜Assistant｜><think>
"
75 - 14 = 64,False,"[128000, 128011, 2075, 482, 220, 975, 284, 220, 1227, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>75 - 14 = 64<｜Assistant｜><think>
"
49 - 91 = -42,True,"[128000, 128011, 2491, 482, 220, 5925, 284, 482, 2983, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>49 - 91 = -42<｜Assistant｜><think>
"
64 + 47 = 106,False,"[128000, 128011, 1227, 489, 220, 2618, 284, 220, 7461, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>64 + 47 = 106<｜Assistant｜><think>
"
62 * 14 = 868,True,"[128000, 128011, 5538, 353, 220, 975, 284, 220, 25862, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>62 * 14 = 868<｜Assistant｜><think>
"
53 * 65 = 3450,False,"[128000, 128011, 4331, 353, 220, 2397, 284, 220, 12901, 15, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>53 * 65 = 3450<｜Assistant｜><think>
"
20 + 86 = 106,True,"[128000, 128011, 508, 489, 220, 4218, 284, 220, 7461, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>20 + 86 = 106<｜Assistant｜><think>
"
