statement,label,country,cities,stated_k,actual_k
"Exactly 0 of the following cities are in Bolivia: Shaoxing, Hefei.",1,Bolivia,"('Hefei', 'Shaoxing')",0,0
"Exactly 2 of the following cities are in Nicaragua: Lusaka, Tianshui.",0,Nicaragua,"('Lusaka', 'Tianshui')",2,0
"Exactly 1 of the following cities are in Mali: Kisangani, Bamako.",1,Mali,"('Bamako', 'Kisangani')",1,1
"Exactly 1 of the following cities are in Iran: Tabriz, Hohhot.",1,Iran,"('Hohhot', 'Tabriz')",1,1
"Exactly 0 of the following cities are in Zimbabwe: Jiamusi, Bulawayo.",0,Zimbabwe,"('Bulawayo', 'Jiamusi')",0,1
"Exactly 0 of the following cities are in Zambia: Lusaka, Chuxiong.",0,Zambia,"('Chuxiong', 'Lusaka')",0,1
"Exactly 2 of the following cities are in North Korea: Santiago de los Caballeros, Chongqing.",0,North Korea,"('Chongqing', 'Santiago de los Caballeros')",2,0
"Exactly 0 of the following cities are in Brazil: Joao Pessoa, Manaus.",0,Brazil,"('Joao Pessoa', 'Manaus')",0,2
"Exactly 2 of the following cities are in the Dominican Republic: Santo Domingo Este, Santiago de los Caballeros.",1,the Dominican Republic,"('Santiago de los Caballeros', 'Santo Domingo Este')",2,2
"Exactly 0 of the following cities are in Swaziland: Shah Alam, Vladivostok.",1,Swaziland,"('Shah Alam', 'Vladivostok')",0,0
"Exactly 2 of the following cities are in Morocco: Pingliang, Yangon.",0,Morocco,"('Pingliang', 'Yangon')",2,0
"Exactly 0 of the following cities are in Latvia: Riga, Almaty.",0,Latvia,"('Almaty', 'Riga')",0,1
"Exactly 1 of the following cities are in Burkina Faso: Zhu Cheng City, Cotonou.",0,Burkina Faso,"('Cotonou', 'Zhu Cheng City')",1,0
"Exactly 1 of the following cities are in Nigeria: E'zhou, Bandar Lampung.",0,Nigeria,"('Bandar Lampung', ""E'zhou"")",1,0
"Exactly 2 of the following cities are in Russia: Yekaterinburg, Volgograd.",1,Russia,"('Volgograd', 'Yekaterinburg')",2,2
"Exactly 0 of the following cities are in South Korea: Changwon, Ansan-si.",0,South Korea,"('Ansan-si', 'Changwon')",0,2
"Exactly 0 of the following cities are in Lebanon: Ra's Bayrut, Mandalay.",0,Lebanon,"('Mandalay', ""Ra's Bayrut"")",0,1
"Exactly 0 of the following cities are in the United States: Hermosillo, The Bronx.",0,the United States,"('Hermosillo', 'The Bronx')",0,1
"Exactly 2 of the following cities are in South Africa: Bloemfontein, Pretoria.",1,South Africa,"('Bloemfontein', 'Pretoria')",2,2
"Exactly 0 of the following cities are in Brazil: Uberlandia, Astana.",0,Brazil,"('Astana', 'Uberlandia')",0,1
"Exactly 1 of the following cities are in Qatar: Fuxin, Shaoguan.",0,Qatar,"('Fuxin', 'Shaoguan')",1,0
"Exactly 1 of the following cities are in Jordan: Irbid, Soweto.",1,Jordan,"('Irbid', 'Soweto')",1,1
"Exactly 0 of the following cities are in Venezuela: Ciudad Guayana, Fortaleza.",0,Venezuela,"('Ciudad Guayana', 'Fortaleza')",0,1
"Exactly 0 of the following cities are in Vanuatu: Golfe, Pontianak.",1,Vanuatu,"('Golfe', 'Pontianak')",0,0
"Exactly 2 of the following cities are in the Philippines: Las Pinas, Cebu City.",1,the Philippines,"('Cebu City', 'Las Pinas')",2,2
"Exactly 2 of the following cities are in Nigeria: Buraydah, Karbala.",0,Nigeria,"('Buraydah', 'Karbala')",2,0
"Exactly 2 of the following cities are in Ukraine: Kharkiv, Odesa.",1,Ukraine,"('Kharkiv', 'Odesa')",2,2
"Exactly 0 of the following cities are in Haiti: Carrefour, Zaria.",0,Haiti,"('Carrefour', 'Zaria')",0,1
"Exactly 1 of the following cities are in Croatia: Zagreb, Hezhou.",1,Croatia,"('Hezhou', 'Zagreb')",1,1
"Exactly 0 of the following cities are in Luxembourg: Dodoma, Eskisehir.",1,Luxembourg,"('Dodoma', 'Eskisehir')",0,0
"Exactly 2 of the following cities are in Tanzania: Dodoma, Zanzibar.",1,Tanzania,"('Dodoma', 'Zanzibar')",2,2
"Exactly 1 of the following cities are in Ukraine: Izhevsk, Camama.",0,Ukraine,"('Camama', 'Izhevsk')",1,0
"Exactly 0 of the following cities are in Germany: Leipzig, Khulna.",0,Germany,"('Khulna', 'Leipzig')",0,1
"Exactly 2 of the following cities are in the United States: Tabriz, Thiruvananthapuram.",0,the United States,"('Tabriz', 'Thiruvananthapuram')",2,0
"Exactly 2 of the following cities are in Yemen: Taiz, Mukalla.",1,Yemen,"('Mukalla', 'Taiz')",2,2
"Exactly 1 of the following cities are in Lebanon: Ra's Bayrut, Baoji.",1,Lebanon,"('Baoji', ""Ra's Bayrut"")",1,1
"Exactly 1 of the following cities are in Saudi Arabia: Ta'if, Sultanah.",0,Saudi Arabia,"('Sultanah', ""Ta'if"")",1,2
"Exactly 2 of the following cities are in Myanmar: Latakia, Aktobe.",0,Myanmar,"('Aktobe', 'Latakia')",2,0
"Exactly 2 of the following cities are in Brazil: Indore, Porto Velho.",0,Brazil,"('Indore', 'Porto Velho')",2,1
"Exactly 0 of the following cities are in Turkey: Shuangyashan, Pingliang.",1,Turkey,"('Pingliang', 'Shuangyashan')",0,0
"Exactly 0 of the following cities are in Colombia: Fortaleza, Cucuta.",0,Colombia,"('Cucuta', 'Fortaleza')",0,1
"Exactly 1 of the following cities are in Senegal: Dakar, Shangrao.",1,Senegal,"('Dakar', 'Shangrao')",1,1
"Exactly 1 of the following cities are in Estonia: Guayaquil, Visakhapatnam.",0,Estonia,"('Guayaquil', 'Visakhapatnam')",1,0
"Exactly 2 of the following cities are in Venezuela: Maracaibo, Ciudad Guayana.",1,Venezuela,"('Ciudad Guayana', 'Maracaibo')",2,2
"Exactly 0 of the following cities are in Benin: Lianyungang, Pingdingshan.",1,Benin,"('Lianyungang', 'Pingdingshan')",0,0
"Exactly 2 of the following cities are in Kyrgyzstan: Orenburg, Zaozhuang.",0,Kyrgyzstan,"('Orenburg', 'Zaozhuang')",2,0
"Exactly 0 of the following cities are in Uruguay: Kinshasa, Caracas.",1,Uruguay,"('Caracas', 'Kinshasa')",0,0
"Exactly 1 of the following cities are in the Democratic Republic of the Congo: Kananga, Kikwit.",0,the Democratic Republic of the Congo,"('Kananga', 'Kikwit')",1,2
"Exactly 0 of the following cities are in France: Lyon, Marseille.",0,France,"('Lyon', 'Marseille')",0,2
"Exactly 1 of the following cities are in Hungary: Shangqiu, Pest.",1,Hungary,"('Pest', 'Shangqiu')",1,1
"Exactly 1 of the following cities are in the Dominican Republic: Santo Domingo Oeste, Beira.",1,the Dominican Republic,"('Beira', 'Santo Domingo Oeste')",1,1
"Exactly 0 of the following cities are in Saudi Arabia: Sanming, Carrefour.",1,Saudi Arabia,"('Carrefour', 'Sanming')",0,0
"Exactly 0 of the following cities are in New Zealand: South Tangerang, Asmara.",1,New Zealand,"('Asmara', 'South Tangerang')",0,0
"Exactly 2 of the following cities are in Uzbekistan: Samarkand, Tashkent.",1,Uzbekistan,"('Samarkand', 'Tashkent')",2,2
"Exactly 1 of the following cities are in New Zealand: Auckland, Guatemala City.",1,New Zealand,"('Auckland', 'Guatemala City')",1,1
"Exactly 2 of the following cities are in Iraq: Thuan An, Sagamihara.",0,Iraq,"('Sagamihara', 'Thuan An')",2,0
"Exactly 1 of the following cities are in Chile: Lusaka, Puente Alto.",1,Chile,"('Lusaka', 'Puente Alto')",1,1
"Exactly 2 of the following cities are in South Korea: Busan, Cheongju-si.",1,South Korea,"('Busan', 'Cheongju-si')",2,2
"Exactly 1 of the following cities are in Cambodia: Quebec, Phnom Penh.",1,Cambodia,"('Phnom Penh', 'Quebec')",1,1
"Exactly 0 of the following cities are in Djibouti: Balbala, Acapulco de Juarez.",0,Djibouti,"('Acapulco de Juarez', 'Balbala')",0,1
"Exactly 1 of the following cities are in Madagascar: Antananarivo, Kikwit.",1,Madagascar,"('Antananarivo', 'Kikwit')",1,1
"Exactly 1 of the following cities are in Malawi: Lilongwe, Gold Coast.",1,Malawi,"('Gold Coast', 'Lilongwe')",1,1
"Exactly 0 of the following cities are in Pakistan: Zhangye, Bannu.",0,Pakistan,"('Bannu', 'Zhangye')",0,1
"Exactly 1 of the following cities are in North Korea: Mississauga, Nashik.",0,North Korea,"('Mississauga', 'Nashik')",1,0
"Exactly 1 of the following cities are in the United Arab Emirates: Sharjah, Baku.",1,the United Arab Emirates,"('Baku', 'Sharjah')",1,1
"Exactly 2 of the following cities are in Pakistan: Okara, Karachi.",1,Pakistan,"('Karachi', 'Okara')",2,2
"Exactly 2 of the following cities are in Venezuela: Maturin, Barquisimeto.",1,Venezuela,"('Barquisimeto', 'Maturin')",2,2
"Exactly 1 of the following cities are in Kazakhstan: Niigata, Perm.",0,Kazakhstan,"('Niigata', 'Perm')",1,0
"Exactly 1 of the following cities are in Angola: Dodoma, Wanning.",0,Angola,"('Dodoma', 'Wanning')",1,0
"Exactly 2 of the following cities are in Vietnam: Quebec, Rohini.",0,Vietnam,"('Quebec', 'Rohini')",2,0
"Exactly 0 of the following cities are in Finland: Helsinki, Ciudad Nezahualcoyotl.",0,Finland,"('Ciudad Nezahualcoyotl', 'Helsinki')",0,1
"Exactly 0 of the following cities are in Mongolia: Ulan Bator, Rui'an.",0,Mongolia,"(""Rui'an"", 'Ulan Bator')",0,1
"Exactly 0 of the following cities are in Brazil: Nova Iguacu, Uberlandia.",0,Brazil,"('Nova Iguacu', 'Uberlandia')",0,2
"Exactly 0 of the following cities are in Algeria: Acapulco de Juarez, Lusaka.",1,Algeria,"('Acapulco de Juarez', 'Lusaka')",0,0
"Exactly 0 of the following cities are in Kenya: Manaus, Surat.",1,Kenya,"('Manaus', 'Surat')",0,0
"Exactly 0 of the following cities are in Timor-Leste: Winnipeg, Andijon.",1,Timor-Leste,"('Andijon', 'Winnipeg')",0,0
"Exactly 2 of the following cities are in Norway: Jambi City, Bengbu.",0,Norway,"('Bengbu', 'Jambi City')",2,0
"Exactly 0 of the following cities are in Guyana: Katsina, Dammam.",1,Guyana,"('Dammam', 'Katsina')",0,0
"Exactly 2 of the following cities are in Nigeria: Enugu, Calabar.",1,Nigeria,"('Calabar', 'Enugu')",2,2
"Exactly 1 of the following cities are in Niger: Niamey, Sharjah.",1,Niger,"('Niamey', 'Sharjah')",1,1
"Exactly 2 of the following cities are in China: Chongming, Anshan.",1,China,"('Anshan', 'Chongming')",2,2
"Exactly 1 of the following cities are in Syria: Ar Raqqah, Chelyabinsk.",1,Syria,"('Ar Raqqah', 'Chelyabinsk')",1,1
"Exactly 0 of the following cities are in Seychelles: Edogawe, Yaroslavl.",1,Seychelles,"('Edogawe', 'Yaroslavl')",0,0
"Exactly 1 of the following cities are in Ukraine: Algiers, Bhiwandi.",0,Ukraine,"('Algiers', 'Bhiwandi')",1,0
"Exactly 0 of the following cities are in Ethiopia: Seattle, Shantou.",1,Ethiopia,"('Seattle', 'Shantou')",0,0
"Exactly 1 of the following cities are in Canada: Zapopan, Ranchi.",0,Canada,"('Ranchi', 'Zapopan')",1,0
"Exactly 0 of the following cities are in Iran: Tabriz, Hamadan.",0,Iran,"('Hamadan', 'Tabriz')",0,2
"Exactly 0 of the following cities are in Thailand: Katsina, Bayan Nur.",1,Thailand,"('Bayan Nur', 'Katsina')",0,0
"Exactly 1 of the following cities are in Pakistan: Kirkuk, Auckland.",0,Pakistan,"('Auckland', 'Kirkuk')",1,0
"Exactly 2 of the following cities are in Morocco: Oujda, Agadir.",1,Morocco,"('Agadir', 'Oujda')",2,2
"Exactly 2 of the following cities are in Morocco: Oujda, Chuzhou.",0,Morocco,"('Chuzhou', 'Oujda')",2,1
"Exactly 1 of the following cities are in South Korea: Gazipur, Ulsan.",1,South Korea,"('Gazipur', 'Ulsan')",1,1
