statement,label
(3 - 19) * 18 = -288,True
(50 + 21) - 20 = 51,True
(13 * 32) - 42 = 374,True
(30 - 44) * 28 = -393,False
(17 + 41) + 9 = 67,True
(41 - 11) - 4 = 26,True
(19 - 1) + 33 = 50,False
(39 + 6) - 40 = 3,False
(46 * 15) * 3 = 2070,True
(15 - 26) - 10 = -21,True
(50 + 36) - 1 = 85,True
(44 + 11) * 13 = 715,True
(27 * 12) * 48 = 15554,False
(20 + 46) * 2 = 132,True
(3 * 49) - 27 = 120,True
(33 + 11) - 31 = 15,False
(9 - 17) + 27 = 21,False
(38 * 17) / 19 = 29,False
(48 - 27) * 42 = 878,False
(27 + 41) + 3 = 76,False
(3 - 32) * 13 = -372,False
(23 + 2) - 13 = 17,False
(26 - 32) - 14 = -20,True
(48 * 31) * 38 = 56539,False
(5 * 26) * 29 = 3770,True
(11 - 39) - 11 = -42,False
(16 * 16) * 29 = 7424,True
(20 - 18) * 17 = 34,True
(39 * 20) / 26 = 30,True
(12 * 21) + 14 = 266,True
(16 - 7) + 1 = 6,False
(11 - 45) + 45 = 11,True
(31 + 24) + 30 = 85,True
(30 - 47) - 40 = -52,False
(31 + 35) - 12 = 54,True
(19 - 35) - 41 = -57,True
(27 + 41) + 3 = 71,True
(12 - 48) - 25 = -61,True
(1 * 11) - 12 = 1,False
(4 * 49) * 43 = 8427,False
(7 - 46) - 22 = -61,True
(19 + 20) * 38 = 1482,True
(7 - 26) - 43 = -58,False
(33 + 44) - 49 = 28,True
(22 * 28) + 10 = 622,False
(7 - 8) * 25 = -20,False
(20 / 5) * 30 = 120,True
(31 * 25) * 30 = 23252,False
(2 * 37) * 8 = 592,True
(33 * 27) * 25 = 22270,False
(9 - 44) - 27 = -62,True
(49 * 7) - 16 = 328,False
(29 - 34) + 1 = 0,False
(17 - 41) * 20 = -485,False
(48 * 31) * 38 = 56544,True
(34 - 17) + 19 = 34,False
(19 * 14) * 29 = 7714,True
(16 * 1) - 44 = -23,False
(2 - 10) - 45 = -58,False
(50 + 36) - 1 = 80,False
(9 * 44) * 41 = 16236,True
(26 - 26) + 18 = 17,False
(38 - 2) - 47 = -11,True
(39 + 3) - 6 = 36,True
(37 + 48) + 41 = 126,True
(46 * 27) * 4 = 4968,True
(5 - 35) * 29 = -871,False
(48 + 2) + 17 = 67,True
(21 + 21) / 1 = 42,True
(3 * 11) + 10 = 44,False
(5 - 1) * 5 = 16,False
(37 + 17) + 34 = 86,False
(24 + 1) * 15 = 376,False
(5 * 26) * 29 = 3771,False
(7 + 11) - 36 = -18,True
(43 - 34) - 34 = -25,True
(48 - 5) + 43 = 84,False
(2 - 10) - 45 = -53,True
(22 * 28) + 10 = 626,True
(35 - 31) * 47 = 188,True
(30 * 25) * 47 = 35250,True
(38 + 28) + 6 = 76,False
(8 + 14) + 29 = 55,False
(16 * 1) - 44 = -28,True
(42 * 10) / 5 = 84,True
(24 / 3) - 37 = -29,True
(39 + 3) - 6 = 34,False
(22 + 17) + 5 = 44,True
(21 + 34) * 6 = 335,False
(37 - 23) + 7 = 16,False
(2 - 24) - 16 = -39,False
(5 - 50) - 37 = -79,False
(47 - 25) * 33 = 731,False
(46 * 41) + 8 = 1899,False
(45 + 38) + 33 = 116,True
(40 - 41) * 39 = -34,False
(10 + 29) - 17 = 24,False
(34 * 29) + 22 = 1008,True
(39 * 42) - 19 = 1615,False
(4 + 48) * 42 = 2182,False
(5 + 27) - 42 = -12,False
(33 - 45) + 17 = 5,True
(3 + 12) + 37 = 52,True
(33 * 27) * 25 = 22275,True
(14 - 41) + 36 = 4,False
(49 + 44) - 28 = 65,True
(33 * 2) * 36 = 2376,True
(29 * 22) + 2 = 639,False
(20 / 10) * 14 = 32,False
(48 * 14) / 48 = 19,False
(29 * 29) + 37 = 878,True
(33 - 21) - 47 = -37,False
(11 + 39) * 33 = 1650,True
(13 * 6) - 37 = 41,True
(3 - 19) * 18 = -287,False
(48 * 22) * 30 = 31683,False
(27 * 41) + 11 = 1118,True
(45 + 42) - 9 = 78,True
(34 * 12) + 38 = 446,True
(4 + 7) + 49 = 60,True
(16 * 23) * 28 = 10302,False
(48 - 36) + 27 = 35,False
(24 * 38) * 12 = 10944,True
(47 + 5) - 7 = 45,True
(29 + 13) - 38 = 3,False
(44 * 2) + 3 = 91,True
(39 + 22) + 5 = 71,False
(2 + 34) * 24 = 864,True
(13 - 40) - 3 = -31,False
(22 * 27) + 9 = 603,True
(33 + 44) - 49 = 27,False
(28 * 37) + 24 = 1060,True
(48 + 25) - 37 = 36,True
(18 - 24) * 31 = -189,False
(15 - 26) - 10 = -17,False
(20 - 46) - 4 = -26,False
(48 / 24) + 50 = 56,False
(22 * 24) - 26 = 506,False
(18 * 27) * 7 = 3405,False
(23 + 48) - 32 = 34,False
(50 + 9) - 44 = 15,True
(23 * 32) / 8 = 92,True
(38 * 17) / 19 = 34,True
(49 * 19) - 27 = 905,False
(41 * 11) * 22 = 9922,True
(25 + 16) - 44 = -2,False
(11 * 41) - 25 = 423,False
(22 - 46) - 50 = -74,True
(2 * 20) - 45 = -10,False
(48 + 2) + 17 = 72,False
(11 + 22) * 36 = 1189,False
(48 + 25) - 41 = 29,False
(19 - 35) - 41 = -58,False
(19 - 1) + 33 = 51,True
(1 - 32) - 40 = -71,True
(37 + 12) - 36 = 11,False
(3 + 23) + 38 = 67,False
(49 + 2) + 6 = 60,False
(14 / 14) + 40 = 36,False
(22 + 39) - 25 = 39,False
(44 + 14) * 2 = 117,False
(27 * 41) + 11 = 1121,False
(44 + 4) - 39 = 9,True
(37 + 31) - 48 = 20,True
(34 + 22) - 27 = 29,True
(6 - 41) - 17 = -52,True
(48 - 27) * 42 = 882,True
(34 - 24) * 45 = 450,True
(38 - 32) - 11 = -5,True
(41 + 47) * 1 = 88,True
(42 + 14) + 28 = 89,False
(2 * 15) + 27 = 52,False
(3 - 10) + 27 = 20,True
(19 + 40) * 44 = 2595,False
(24 + 1) * 15 = 375,True
(8 * 50) * 48 = 19202,False
(41 + 30) - 14 = 57,True
(30 - 47) - 40 = -57,True
(21 - 6) + 40 = 54,False
(41 - 40) + 24 = 25,True
(32 + 34) + 29 = 95,True
(23 + 2) - 13 = 12,True
(38 + 5) + 43 = 89,False
(28 * 1) + 23 = 55,False
(24 * 9) + 49 = 265,True
(34 * 29) + 47 = 1033,True
(42 + 30) + 39 = 113,False
(8 + 48) * 49 = 2745,False
(31 - 9) - 12 = 5,False
(38 * 44) * 6 = 10032,True
(14 * 2) - 40 = -12,True
(22 + 45) + 16 = 85,False
(27 + 3) + 44 = 74,True
(4 + 7) + 49 = 57,False
(32 + 24) * 6 = 336,True
(24 - 45) * 41 = -861,True
(22 * 27) + 9 = 607,False
(32 + 24) * 6 = 338,False
(38 + 28) + 6 = 72,True
(22 + 37) + 35 = 94,True
(11 - 21) - 44 = -57,False
(44 - 50) + 15 = 9,True
(48 - 36) + 27 = 39,True
(20 / 10) * 14 = 28,True
(21 * 35) * 25 = 18375,True
(14 + 15) * 12 = 348,True
(19 * 8) + 24 = 177,False
(45 + 34) - 48 = 31,True
(2 - 3) * 49 = -51,False
(37 + 17) + 34 = 88,True
(15 + 37) + 20 = 76,False
(29 + 9) + 40 = 78,True
(18 * 27) * 7 = 3402,True
(34 + 20) - 15 = 39,True
(4 + 28) - 11 = 21,True
(30 + 43) - 48 = 26,False
(5 * 32) + 18 = 174,False
(50 * 16) - 38 = 764,False
(12 - 48) - 25 = -66,False
(37 * 50) * 31 = 57350,True
(31 - 24) * 50 = 350,True
(40 - 4) - 11 = 20,False
(50 * 16) - 38 = 762,True
(29 + 44) - 34 = 39,True
(24 * 47) - 23 = 1106,False
(1 + 34) * 44 = 1540,True
(41 * 30) * 41 = 50433,False
(4 + 28) - 11 = 22,False
